id,status,created_time,response_time,hops,responses
7704,200,76.773000,0.014687,[i58-f10],[0.014687]
7703,200,76.762000,0.028585,[i61-f13],[0.028585]
7705,200,76.785000,0.015086,[i63-f15],[0.015086]
7706,200,76.798000,0.023028,[i61-f13],[0.023028]
7708,200,76.813000,0.018800,[i58-f10],[0.0188]
7707,200,76.807000,0.026807,[i63-f15],[0.026807]
7709,200,76.829000,0.023269,[i61-f13],[0.023269]
7710,200,76.846000,0.018901,[i63-f15],[0.018901]
7711,200,76.858000,0.014816,[i61-f13],[0.014816]
7712,200,76.863000,0.022725,[i58-f10],[0.022725]
7713,200,76.874000,0.011821,[i61-f13],[0.011821]
7714,200,76.881000,0.018664,[i63-f15],[0.018664]
7715,200,76.889000,0.015383,[i61-f13],[0.015383]
7716,200,76.898000,0.015094,[i58-f10],[0.015094]
7717,200,76.904000,0.010545,[i63-f15],[0.010545]
7718,200,76.914000,0.014686,[i58-f10],[0.014686]
7720,200,76.932000,0.010543,[i58-f10],[0.010543]
7719,200,76.921000,0.022653,[i63-f15],[0.022653]
7721,200,76.940000,0.011006,[i61-f13],[0.011006]
7722,200,76.952000,0.015171,[i61-f13],[0.015171]
7723,200,76.963000,0.011178,[i63-f15],[0.011178]
7724,200,76.969000,0.026880,[i61-f13],[0.02688]
7725,200,76.980000,0.026666,[i63-f15],[0.026666]
7727,200,76.993000,0.018963,[i45-f13],[0.018963]
7726,200,76.987000,0.026688,[i58-f10],[0.026688]
7728,200,77.009000,0.023004,[i63-f15],[0.023004]
7729,200,77.022000,0.022681,[i58-f10],[0.022681]
7730,200,77.031000,0.018862,[i45-f13],[0.018862]
7731,200,77.036000,0.018792,[i63-f15],[0.018792]
7732,200,77.046000,0.026719,[i58-f10],[0.026719]
7733,200,77.057000,0.026793,[i63-f15],[0.026793]
7735,200,77.080000,0.010885,[i58-f10],[0.010885]
7734,200,77.063000,0.028047,[i45-f13],[0.028047]
7736,200,77.096000,0.019478,[i45-f13],[0.019478]
7737,200,77.110000,0.010447,[i58-f10],[0.010447]
7738,200,77.120000,0.026866,[i45-f13],[0.026866]
7739,200,77.134000,0.022804,[i58-f10],[0.022804]
7740,200,77.147000,0.018993,[i45-f13],[0.018993]
7741,200,77.163000,0.019056,[i58-f10],[0.019056]
7742,200,77.170000,0.018780,[i45-f13],[0.01878]
7743,200,77.175000,0.018792,[i63-f15],[0.018792]
7744,200,77.186000,0.018773,[i58-f10],[0.018773]
7745,200,77.198000,0.015116,[i63-f15],[0.015116]
7746,200,77.204000,0.014795,[i45-f13],[0.014795]
7747,200,77.213000,0.010755,[i58-f10],[0.010755]
7748,200,77.222000,0.028585,[i45-f13],[0.028585]
7749,200,77.233000,0.023071,[i58-f10],[0.023071]
7750,200,77.242000,0.022767,[i63-f15],[0.022767]
7751,200,77.253000,0.023028,[i45-f13],[0.023028]
7752,200,77.259000,0.018755,[i58-f10],[0.018755]
7753,200,77.267000,0.026578,[i63-f15],[0.026578]
7754,200,77.285000,0.014671,[i58-f10],[0.014671]
7755,200,77.297000,0.022493,[i63-f15],[0.022493]
7756,200,77.305000,0.026424,[i58-f10],[0.026424]
7757,200,77.318000,0.023269,[i45-f13],[0.023269]
7758,200,77.332000,0.022769,[i58-f10],[0.022769]
7759,200,77.339000,0.018806,[i63-f15],[0.018806]
7760,200,77.344000,0.014816,[i45-f13],[0.014816]
7762,200,77.367000,0.011821,[i45-f13],[0.011821]
7761,200,77.358000,0.022705,[i63-f15],[0.022705]
7763,200,77.382000,0.010864,[i63-f15],[0.010864]
7764,200,77.394000,0.022573,[i63-f15],[0.022573]
7765,200,77.404000,0.015383,[i45-f13],[0.015383]
7766,200,77.409000,0.018648,[i58-f10],[0.018648]
7767,200,77.422000,0.011006,[i45-f13],[0.011006]
7768,200,77.436000,0.015171,[i45-f13],[0.015171]
7769,200,77.441000,0.015357,[i58-f10],[0.015357]
7770,200,77.449000,0.022726,[i63-f15],[0.022726]
7772,200,77.465000,0.010348,[i58-f10],[0.010348]
7771,200,77.456000,0.026880,[i45-f13],[0.02688]
7773,200,77.481000,0.026529,[i58-f10],[0.026529]
7775,200,77.504000,0.014737,[i63-f15],[0.014737]
7774,200,77.492000,0.027278,[i45-f13],[0.027278]
7776,200,77.510000,0.010572,[i58-f10],[0.010572]
7778,200,77.525000,0.014867,[i58-f10],[0.014867]
7777,200,77.516000,0.027278,[i61-f13],[0.027278]
7779,200,77.536000,0.023916,[i45-f13],[0.023916]
7780,200,77.544000,0.023916,[i61-f13],[0.023916]
7781,200,77.551000,0.026551,[i58-f10],[0.026551]
7782,200,77.564000,0.019024,[i45-f13],[0.019024]
7783,200,77.571000,0.019024,[i61-f13],[0.019024]
7784,200,77.577000,0.026943,[i63-f15],[0.026943]
7785,200,77.582000,0.027021,[i58-f10],[0.027021]
7786,200,77.598000,0.021009,[i61-f13],[0.021009]
7787,200,77.608000,0.022719,[i63-f15],[0.022719]
7788,200,77.624000,0.014113,[i61-f13],[0.014113]
7789,200,77.632000,0.019079,[i63-f15],[0.019079]
7792,200,77.655000,0.010687,[i63-f15],[0.010687]
7790,200,77.641000,0.026881,[i61-f13],[0.026881]
7791,200,77.649000,0.022521,[i58-f10],[0.022521]
7793,200,77.669000,0.019042,[i61-f13],[0.019042]
7794,200,77.679000,0.014552,[i58-f10],[0.014552]
7795,200,77.689000,0.018820,[i61-f13],[0.01882]
7796,200,77.700000,0.010479,[i58-f10],[0.010479]
7797,200,77.712000,0.010710,[i58-f10],[0.01071]
7799,200,77.730000,0.018800,[i58-f10],[0.0188]
7798,200,77.721000,0.027885,[i61-f13],[0.027885]
7800,200,77.742000,0.014733,[i63-f15],[0.014733]
